Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
MSan2 / LMF1,O75369,O75369,2.381875818,2.381875818,0,0,2610,O75369,FLNB,Filamin-B,FLNB_HUMAN,206,421.2139934,5.212139934,MSan2,LMF1,"stress fiber,cytoplasm,cytosol,plasma membrane,brush border,focal adhesion,cell cortex,actin cytoskeleton,integral component of membrane,Z disc,extracellular matrix,extracellular exosome","RNA binding,actin binding,protein binding,identical protein binding,cadherin binding","keratinocyte development,epithelial cell morphogenesis,cytoskeletal anchoring at plasma membrane,signal transduction,skeletal muscle tissue development,actin cytoskeleton organization"
MSan2 / LMF1,P06396,P06396,6.391693887,6.391693887,0,0,1188,P06396,GSN,Gelsolin,GELS_HUMAN,50,8296.37029,83.9637029,MSan2,LMF1,"ruffle,podosome,extracellular region,extracellular space,cytoplasm,cytosol,plasma membrane,focal adhesion,actin cytoskeleton,sarcoplasm,lamellipodium,actin cap,cortical actin cytoskeleton,secretory granule lumen,myelin sheath,perinuclear region of cytoplasm,extracellular exosome,blood microparticle,ficolin-1-rich granule lumen,nucleus","actin binding,calcium ion binding,protein binding,protein domain specific binding,myosin II binding","phagocytosis, engulfment,aging,positive regulation of gene expression,oligodendrocyte development,striated muscle atrophy,actin filament polymerization,protein destabilization,tissue regeneration,sequestering of actin monomers,neutrophil degranulation,cellular protein metabolic process,actin nucleation,response to ethanol,negative regulation of viral entry into host cell,phosphatidylinositol-mediated signaling,actin filament severing,barbed-end actin filament capping,positive regulation of actin nucleation,response to folic acid,actin filament capping,cilium morphogenesis,cellular response to cadmium ion,regulation of podosome assembly,actin filament reorganization,renal protein absorption,hepatocyte apoptotic process,positive regulation of keratinocyte apoptotic process,regulation of wound healing, spreading of epidermal cells,regulation of establishment of T cell polarity,regulation of plasma membrane raft polarization,regulation of receptor clustering,positive regulation of protein processing in phagocytic vesicle,amyloid fibril formation,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,extracellular matrix disassembly"
MSan2 / LMF1,P07355,P07355,5.272161888,5.272161888,0,0,846,P07355,ANXA2,Annexin A2,ANXA2_HUMAN,49,3764.371499,38.64371499,MSan2,LMF1,"ruffle,extracellular region,basement membrane,extracellular space,nucleus,lysosomal membrane,endosome,early endosome,lipid particle,cytosol,plasma membrane,cell-cell adherens junction,cell cortex,cell surface,membrane,basolateral plasma membrane,extrinsic component of plasma membrane,midbody,late endosome membrane,vesicle,azurophil granule lumen,myelin sheath adaxonal region,sarcolemma,melanosome,Schmidt-Lanterman incisure,macropinosome,perinuclear region of cytoplasm,extracellular exosome,PCSK9-AnxA2 complex,extracellular matrix,membrane raft","protease binding,RNA binding,calcium ion binding,protein binding,calcium-dependent phospholipid binding,phosphatidylinositol-4,5-bisphosphate binding,cytoskeletal protein binding,Rab GTPase binding,phospholipase A2 inhibitor activity,S100 protein binding,calcium-dependent protein binding,cadherin binding involved in cell-cell adhesion,receptor activator activity","angiogenesis,membrane raft assembly,positive regulation of receptor recycling,positive regulation of protein phosphorylation,membrane budding,body fluid secretion,collagen fibril organization,positive regulation of vesicle fusion,negative regulation of low-density lipoprotein particle receptor catabolic process,osteoclast development,fibrinolysis,negative regulation of catalytic activity,neutrophil degranulation,positive regulation of fibroblast proliferation,protein heterotetramerization,protein targeting to plasma membrane,response to thyroid hormone,cell-cell adhesion,Requires Ontology"
MSan2 / LMF1,P12277,P12277,-5.649559326,5.649559326,0,0,1080,P12277,CKB,Creatine kinase B-type,KCRB_HUMAN,32,-98.00789062,0.019921094,MSan2,LMF1,"extracellular space,nucleus,mitochondrion,cytosol,dendrite,neuronal cell body,myelin sheath,extracellular exosome","creatine kinase activity,protein binding,ATP binding,ubiquitin protein ligase binding","creatine metabolic process,phosphorylation,cerebellum development,substantia nigra development,cellular chloride ion homeostasis"
MSan2 / LMF1,P12814,P12814,2.949789188,2.949789188,0,0,2034,P12814,ACTN1,Alpha-actinin-1,ACTN1_HUMAN,93,672.6361544,7.726361544,MSan2,LMF1,"stress fiber,ruffle,extracellular region,extracellular space,intracellular,cytoplasm,cytosol,plasma membrane,brush border,cell-cell junction,fascia adherens,focal adhesion,Z disc,platelet alpha granule lumen,pseudopodium,cell projection,extracellular exosome,actin filament","double-stranded RNA binding,integrin binding,calcium ion binding,protein binding,vinculin binding,ligand-dependent nuclear receptor transcription coactivator activity,protein homodimerization activity,ion channel binding,actin filament binding","platelet degranulation,actin filament organization,platelet formation,platelet morphogenesis,regulation of apoptotic process,focal adhesion assembly,actin filament bundle assembly,negative regulation of cellular component movement,actin filament network formation,actin crosslink formation,regulation of nucleic acid-templated transcription,platelet activation,platelet aggregation"
MSan2 / LMF1,P13796,P13796,8.529410872,8.529410872,0,0,1386,P13796,LCP1,Plastin-2,PLSL_HUMAN,64,36849.49591,369.4949591,MSan2,LMF1,"ruffle,phagocytic cup,podosome,extracellular space,cytoplasm,cytosol,actin filament,plasma membrane,focal adhesion,actin cytoskeleton,filopodium,actin filament bundle,ruffle membrane,extracellular exosome,stress fiber","actin binding,calcium ion binding,identical protein binding,actin filament binding,GTPase binding","T cell activation involved in immune response,protein kinase A signaling,cell migration,extracellular matrix disassembly,animal organ regeneration,regulation of intracellular protein transport,actin filament bundle assembly,actin filament network formation,actin crosslink formation,positive regulation of podosome assembly,wound healing, spreading of cells"
MSan2 / LMF1,P21333,P21333,3.428112023,3.428112023,0,0,3906,P21333,FLNA,Filamin-A,FLNA_HUMAN,200,976.3773423,10.76377342,MSan2,LMF1,"extracellular region,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,cell-cell junction,focal adhesion,actin cytoskeleton,membrane,Z disc,cortical cytoskeleton,extracellular matrix,Myb complex,neuronal cell body,dendritic shaft,perinuclear region of cytoplasm,extracellular exosome,apical dendrite,filamentous actin","G-protein coupled receptor binding,glycoprotein binding,RNA binding,signal transducer activity,protein binding,transcription factor binding,potassium channel regulator activity,Rho GTPase binding,Ral GTPase binding,kinase binding,small GTPase binding,mu-type opioid receptor binding,Fc-gamma receptor I complex binding,protein homodimerization activity,ion channel binding,cadherin binding,SMAD binding,Rac GTPase binding,actin filament binding,GTPase binding","platelet degranulation,adenylate cyclase-inhibiting dopamine receptor signaling pathway,negative regulation of transcription from RNA polymerase I promoter,formation of radial glial scaffolds,cerebral cortex development,platelet activation,regulation of cell migration,actin cytoskeleton reorganization,cell junction assembly,protein localization to cell surface,negative regulation of protein catabolic process,mRNA transcription from RNA polymerase II promoter,positive regulation of transcription factor import into nucleus,negative regulation of apoptotic process,receptor clustering,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of sequence-specific DNA binding transcription factor activity,wound healing, spreading of cells,establishment of protein localization,protein stabilization,cytoplasmic sequestering of protein,actin crosslink formation,cilium morphogenesis,platelet aggregation,semaphorin-plexin signaling pathway,protein localization to plasma membrane,mitotic spindle assembly,positive regulation of substrate adhesion-dependent cell spreading,positive regulation of potassium ion transmembrane transport,regulation of membrane repolarization during atrial cardiac muscle cell action potential,regulation of membrane repolarization during cardiac muscle cell action potential,positive regulation of neural precursor cell proliferation,positive regulation of integrin-mediated signaling pathway,positive regulation of neuron migration"
MSan2 / LMF1,P35579,P35579,3.498454691,3.498454691,0,0,4140,P35579,MYH9,Myosin-9,MYH9_HUMAN,240,1030.159657,11.30159657,MSan2,LMF1,"stress fiber,ruffle,uropod,nucleus,cytoplasm,spindle,actomyosin contractile ring,cytosol,plasma membrane,brush border,cell-cell adherens junction,actin cytoskeleton,membrane,myosin II complex,extracellular matrix,cell leading edge,neuromuscular junction,cleavage furrow,actomyosin,protein complex,extracellular exosome,myosin II filament,immunological synapse,focal adhesion,COP9 signalosome,integrin complex","microfilament motor activity,RNA binding,motor activity,actin binding,protein binding,calmodulin binding,ATP binding,ATPase activity,protein domain specific binding,actin-dependent ATPase activity,protein homodimerization activity,protein anchor,ADP binding,cadherin binding,actin filament binding","meiotic spindle organization,cytokinesis,angiogenesis,in utero embryonic development,establishment of T cell polarity,membrane protein ectodomain proteolysis,phagocytosis, engulfment,integrin-mediated signaling pathway,myoblast fusion,regulation of cell shape,protein transport,actin filament-based movement,platelet formation,monocyte differentiation,actomyosin structure organization,actin cytoskeleton reorganization,uropod organization,blood vessel endothelial cell migration,leukocyte migration,establishment of meiotic spindle localization,platelet aggregation,negative regulation of actin filament severing,positive regulation of protein processing in phagocytic vesicle"
MSan2 / LMF1,P35580,P35580,1.156719328,1.156719328,0,0,3924,P35580,MYH10,Myosin-10,MYH10_HUMAN,198,122.9498653,2.229498653,MSan2,LMF1,"stress fiber,nucleus,cytoplasm,spindle,cytosol,plasma membrane,brush border,cell cortex,myosin complex,myosin II complex,lamellipodium,axon,growth cone,midbody,neuromuscular junction,cleavage furrow,actomyosin,neuronal cell body,dendritic spine,extracellular exosome,myosin II filament","microfilament motor activity,actin binding,protein binding,calmodulin binding,ATP binding,actin-dependent ATPase activity,ADP binding,actin filament binding","mitotic cytokinesis,in utero embryonic development,neuron migration,plasma membrane repair,cardiac septum development,exocytosis,substrate-dependent cell migration, cell extension,nuclear migration,cell adhesion,axon guidance,adult heart development,cell proliferation,regulation of cell shape,fourth ventricle development,lateral ventricle development,third ventricle development,cerebellar Purkinje cell layer development,actin filament-based movement,actomyosin structure organization,aorta development,neuromuscular process controlling balance,cardiac myofibril assembly,ventricular cardiac muscle cell development,retina development in camera-type eye,coronary vasculature development,modification of postsynaptic actin cytoskeleton"
MSan2 / LMF1,P46821,P46821,-6.685067172,6.685067172,0,0,2196,P46821,MAP1B,Microtubule-associated protein 1B,MAP1B_HUMAN,108,-99.02816115,0.009718389,MSan2,LMF1,"photoreceptor outer segment,cytosol,microtubule,microtubule associated complex,plasma membrane,postsynaptic density,cell junction,dendritic spine","structural molecule activity,protein binding,microtubule binding","microtubule bundle formation,cellular process,dendrite development,negative regulation of intracellular transport,positive regulation of axon extension,mitochondrion transport along microtubule,axon extension,establishment of monopolar cell polarity"
