PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
RBM8,RNA-binding protein 8A,A0A023T672,A0A023T672_MOUSE,,,,1.1004699288836421E-17,3,3,1,4,3,3,4,3,3,3,1,4,3,3,4,3,6.992893218994141,19.109498977661133,4.920039653778076,6.920048236846924,6.192250728607178,4.496689319610596,10.51860523223877,9.565750122070312
Magohb;Magoh;Magohb,Mago nashi protein;Protein mago nashi homolog;Protein mago nashi homolog 2,A0A023T778;P61327;Q9CQL1,A0A023T778_MOUSE;MGN_MOUSE;MGN2_MOUSE,";nucleus,cytoplasm,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome;exon-exon junction complex,catalytic step 2 spliceosome",";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,mRNA processing,regulation of translation,female gamete generation,RNA splicing,mRNA transport;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA processing,RNA splicing,mRNA transport",;RNA binding;RNA binding,4.552473560184986E-19,2,5,4,7,3,3,6,5,2,5,4,7,3,3,6,5,31.121519088745117,54.08979034423828,39.04425048828125,98.98506164550781,34.24428176879883,45.02509307861328,62.8991584777832,58.30712890625
Cask,Peripheral plasma membrane protein CASK (Fragment);Peripheral plasma membrane protein CASK;Isoform 3 of Peripheral plasma membrane protein CASK;Isoform 4 of Peripheral plasma membrane protein CASK;Isoform 5 of Peripheral plasma membrane protein CASK,A0A067XG53;O70589;O70589-3;O70589-4;O70589-5,A0A067XG53_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE;CSKP_MOUSE,";basement membrane,nucleus,nuclear lamina,nucleolus,cytoplasm,cytosol,cell-cell junction,focal adhesion,membrane,basolateral plasma membrane,nuclear matrix,vesicle,synapse;;;",";negative regulation of cell-matrix adhesion,protein phosphorylation,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus;;;",";protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding;;;",3.489370323103014E-16,6,6,9,5,8,7,5,7,6,6,9,5,8,7,5,7,29.773361206054688,19.50299835205078,20.907747268676758,18.51691246032715,23.09979248046875,20.984851837158203,21.98582649230957,13.48824691772461
Igkv8-27,Protein Igkv8-27;Protein Igkv8-27 (Fragment),A0A075B5N4;A0A0G2JF28,A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE,;extracellular space,";immunoglobulin production,immune response",;,6.615454516899002E-25,2,2,2,3,1,3,2,2,2,2,2,3,1,3,2,2,63.2952995300293,30.797435760498047,10.436871528625488,221.3865966796875,8.740701675415039,18.381746292114258,15.847556114196777,36.01921844482422
Igkv6-13,Protein Igkv6-13,A0A075B5N7,A0A075B5N7_MOUSE,,,,1.8279661750934048E-21,2,3,Filtered,3,3,1,3,3,2,3,Filtered,3,3,1,3,3,19.905540466308594,33.495452880859375,Filtered,51.31040954589844,21.870655059814453,8.904834747314453,12.330355644226074,28.011999130249023
Igkc;,Protein Igkc (Fragment);Ig kappa chain C region,A0A075B5P2;P01837,A0A075B5P2_MOUSE;IGKC_MOUSE,";plasma membrane,external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle",";phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,B cell differentiation,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation",";antigen binding,immunoglobulin receptor binding",6.436780975033156E-31,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,31.61577796936035,22.70166778564453,9.212756156921387,162.75247192382812,21.930099487304688,13.12746810913086,6.164828777313232,27.035560607910156
Ighg2b,Protein Ighg2b (Fragment),A0A075B5P3,A0A075B5P3_MOUSE,,,,5.811347785324274E-34,4,3,2,4,3,2,3,4,4,3,2,4,3,2,3,4,30.587615966796875,23.513826370239258,11.9846773147583,105.40278625488281,25.937803268432617,4.3741841316223145,12.776740074157715,32.85514450073242
Ighg1,Ig gamma-1 chain C region secreted form (Fragment),A0A075B5P4;A0A0A6YWR2,A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE,;,;,;,1.0612038090301071E-29,3,3,4,8,3,3,5,4,3,3,4,8,3,3,5,4,41.55915832519531,49.86751174926758,104.17787170410156,1017.3784790039062,34.41594696044922,25.009559631347656,30.392620086669922,41.84098815917969
Ighg3;;,Protein Ighg3 (Fragment);Ig gamma-3 chain C region;Isoform 2 of Ig gamma-3 chain C region,A0A075B5P5;P03987;P03987-2,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,";extracellular region,plasma membrane,integral component of membrane;",;;,";antigen binding,immunoglobulin receptor binding;",4.758440148017023E-27,4,5,2,5,3,4,2,4,4,5,2,5,3,4,2,4,173.59347534179688,100.20963287353516,13.694232940673828,328.59625244140625,58.31803512573242,58.850440979003906,22.664888381958008,54.786190032958984
Ighm,Ig mu chain C region (Fragment),A0A075B5P6,A0A075B5P6_MOUSE,,,,5.313563134040495E-54,23,19,19,25,21,18,20,19,23,19,19,25,21,18,20,19,562.887451171875,217.92591857910156,186.3382568359375,2617.0234375,392.5528564453125,205.16500854492188,152.51954650878906,242.03530883789062
Ighv1-43,Protein Ighv1-43,A0A075B5V7,A0A075B5V7_MOUSE,,,,1.8185797433212856E-05,Filtered,1,Filtered,2,1,1,Filtered,1,Filtered,0,Filtered,2,1,0,Filtered,1,Filtered,NaN,Filtered,5.367715358734131,0.6691098213195801,NaN,Filtered,2.0042378902435303
Srgap2,SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1;Q91Z67,A0A087WNM1_MOUSE;SRGP2_MOUSE,";nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";GTPase activator activity,protein homodimerization activity,Rac GTPase binding",2.3405162605588016E-10,2,1,1,1,1,1,3,2,2,0,1,1,1,0,3,2,1.2464138269424438,NaN,1.4433481693267822,4.3835272789001465,2.719118356704712,NaN,3.6618330478668213,3.7485413551330566
Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,A0A087WNN8_MOUSE;SOAT1_MOUSE,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",9.028386916764104E-38,Filtered,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,42.841583251953125,4.024449348449707,51.4569091796875,Filtered,5.042130470275879,28.87495231628418,15.788084030151367
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,6.199246475686173E-26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.79647827148438,112.95538330078125,86.27531433105469,107.76084899902344,68.35226440429688,83.85909271240234,109.19137573242188,119.72969055175781
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",1.95813889236121E-30,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,28.34190559387207,36.13167190551758,27.8063907623291,25.582778930664062,25.588991165161133,19.859098434448242,38.71355438232422,26.69835090637207
Agfg1,Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;DNA binding,GTPase activator activity,metal ion binding;;",3.394986310829046E-20,6,7,5,5,5,6,7,7,6,7,5,5,5,6,7,7,30.166179656982422,25.115699768066406,13.828718185424805,23.6343936920166,16.403419494628906,22.363510131835938,18.07110023498535,20.968116760253906
