Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,F8WID5,F8WID5,1.29275286,1.29275286,1.16E-14,6.15E-12,16,F8WID5,Tpm1,Tropomyosin alpha-1 chain,F8WID5_MOUSE,28,144.9950941,2.449950941,Injured,Non-injured,,,,
Injured / Non-injured,Q61166,Q61166,1.066014726,1.066014726,2.76E-14,7.35E-12,16,Q61166,Mapre1,Microtubule-associated protein RP/EB family member 1,MARE1_MOUSE,15,109.3641934,2.093641934,Injured,Non-injured,"Golgi apparatus,centrosome,microtubule,microtubule cytoskeleton,cortical microtubule cytoskeleton,cell projection membrane,cell projection,spindle,cytoplasmic microtubule,microtubule plus-end","RNA binding,protein binding,identical protein binding,cadherin binding,microtubule plus-end binding","cell cycle,negative regulation of microtubule polymerization,protein localization to microtubule,cell division,positive regulation of microtubule plus-end binding",TRUE
Injured / Non-injured,Q9QXD1,Q9QXD1,-2.459280815,2.459280815,4.47E-14,7.93E-12,16,Q9QXD1,Acox2,Peroxisomal acyl-coenzyme A oxidase 2,ACOX2_MOUSE,21,-81.81628119,0.181837188,Injured,Non-injured,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","acyl-CoA dehydrogenase activity,acyl-CoA oxidase activity,receptor binding,3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity,protein homodimerization activity,flavin adenine dinucleotide binding,FAD binding","positive regulation of cell death,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation using acyl-CoA oxidase,positive regulation of response to oxidative stress",TRUE
Injured / Non-injured,O09174,O09174,-2.209206872,2.209206872,2.67E-13,2.84E-11,16,O09174,Amacr,Alpha-methylacyl-CoA racemase,AMACR_MOUSE,18,-78.37468388,0.216253161,Injured,Non-injured,"cytoplasm,mitochondrion,peroxisome,plasma membrane,intracellular membrane-bounded organelle","receptor binding,alpha-methylacyl-CoA racemase activity","fatty acid metabolic process,bile acid biosynthetic process,bile acid metabolic process,isoprenoid catabolic process",
Injured / Non-injured,P54071,P54071,-1.550788311,1.550788311,2.54E-13,2.84E-11,16,P54071,Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial",IDHP_MOUSE,30,-65.86764913,0.341323509,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,peroxisome,cytosol,extracellular exosome","magnesium ion binding,isocitrate dehydrogenase activity,isocitrate dehydrogenase (NADP+) activity,NAD binding","glyoxylate cycle,tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process,NADP biosynthetic process,negative regulation of glial cell proliferation,negative regulation of glial cell migration,negative regulation of matrix metallopeptidase secretion",
Injured / Non-injured,Q60825;Q9D2V6,Q60825;Q9D2V6,-2.829778182,2.829778182,4.98E-13,4.41E-11,16,Q60825;Q9D2V6,Slc34a1,Sodium-dependent phosphate transport protein 2A,NPT2A_MOUSE;Q9D2V6_MOUSE,9,-85.93460652,0.140653935,Injured,Non-injured,"cytoplasm,plasma membrane,brush border,integral component of membrane,basolateral plasma membrane,apical plasma membrane,vesicle;","sodium:phosphate symporter activity,protein binding,sodium-dependent phosphate transmembrane transporter activity;","phosphate ion transport,response to lead ion,cellular phosphate ion homeostasis,phosphate ion transmembrane transport,sodium ion transmembrane transport,sodium-dependent phosphate transport,response to cadmium ion,response to mercury ion,bone remodeling,phosphate ion homeostasis;",
Injured / Non-injured,P50171;P50171-2,P50171;P50171-2,-1.582996168,1.582996168,1.06E-12,8.03E-11,16,P50171;P50171-2,Hsd17b8,Estradiol 17-beta-dehydrogenase 8;Isoform Long of Estradiol 17-beta-dehydrogenase 8,DHB8_MOUSE,10,-66.62120375,0.333787962,Injured,Non-injured,"mitochondrion,mitochondrial envelope,mitochondrial matrix,plasma membrane,membrane;","3-hydroxyacyl-CoA dehydrogenase activity,estradiol 17-beta-dehydrogenase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,testosterone dehydrogenase (NAD+) activity,NADH binding;","fatty acid biosynthetic process,estrogen biosynthetic process,androgen metabolic process,estrogen metabolic process,protein heterotetramerization,oxidation-reduction process;",TRUE
Injured / Non-injured,Q9DBT9,Q9DBT9,-1.741990569,1.741990569,1.42E-12,9.46E-11,16,Q9DBT9,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial",M2GD_MOUSE,34,-70.10430965,0.298956903,Injured,Non-injured,"mitochondrion,mitochondrial matrix","RNA binding,dimethylglycine dehydrogenase activity","amino-acid betaine catabolic process,choline catabolic process,oxidation-reduction process",TRUE
Injured / Non-injured,P16331,P16331,-2.381387244,2.381387244,2.48E-12,1.47E-10,16,P16331,Pah,Phenylalanine-4-hydroxylase,PH4H_MOUSE,32,-80.80752391,0.191924761,Injured,Non-injured,extracellular exosome,"phenylalanine 4-monooxygenase activity,iron ion binding","L-phenylalanine catabolic process,oxidation-reduction process",
Injured / Non-injured,P09405,P09405,1.422211657,1.422211657,3.83E-12,1.57E-10,16,P09405,Ncl,Nucleolin,NUCL_MOUSE,28,167.9960351,2.679960351,Injured,Non-injured,"nucleus,nucleoplasm,nucleolus,cell cortex,membrane,intracellular ribonucleoprotein complex,cytoplasmic ribonucleoprotein granule,extracellular exosome","RNA binding,protein binding,protein C-terminus binding,telomeric DNA binding,identical protein binding,DNA topoisomerase binding,mRNA 5'-UTR binding","angiogenesis,negative regulation of translation,positive regulation of transcription from RNA polymerase II promoter,cellular response to epidermal growth factor stimulus,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,cellular response to leukemia inhibitory factor",TRUE
